-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us       2.593ms         0.25%       2.593ms      64.834us            40  
kernel_cutlass_kernel_b12xattentiondsa_indexermxfp4_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.436ms         0.23%       2.436ms      13.531us           180  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.137ms         0.20%       2.137ms       2.485us           860  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us       1.855ms         0.18%       1.855ms      46.387us            40  
                            b12x::bf16_vocab_projection         0.06%     708.916us         0.14%       1.753ms      87.641us       1.849ms         0.18%      36.746ms       1.837ms            20  
                                                 _chunk         0.00%       0.000us         0.00%       0.000us       0.000us       1.661ms         0.16%       1.661ms       1.931us           860  
                                       vllm::all_reduce         0.44%       5.551ms         0.52%       6.485ms      78.137us       1.572ms         0.15%       1.572ms      18.943us            83  
                                                 _pages         0.00%       0.000us         0.00%       0.000us       0.000us       1.548ms         0.15%       1.548ms       1.683us           920  
kernel_cutlass_kernel_b12xattention_sharedmlakv_cach...         0.00%       0.000us         0.00%       0.000us       0.000us       1.418ms         0.13%       1.418ms       1.541us           920  
kernel_cutlass_kernel_b12xgemmbf16_gemv_kernelSmallN...         0.00%       0.000us         0.00%       0.000us       0.000us       1.401ms         0.13%       1.401ms       5.672us           247  
kernel_cutlass_kernel_dual_b12xattention_sharedmlapr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.388ms         0.13%       1.388ms      18.262us            76  
kernel_cutlass__map_indexed_pages_kernel_tensorptri3...         0.00%       0.000us         0.00%       0.000us       0.000us       1.365ms         0.13%       1.365ms       1.796us           760  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.283ms         0.12%       1.283ms       1.492us           860  
             _quantize_attention_inv_rope_to_tdg_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.208ms         0.11%       1.208ms       1.405us           860  
                                       cuLaunchKernelEx         0.60%       7.537ms         0.68%       8.527ms       4.804us       1.134ms         0.11%       1.134ms       0.639us          1775  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us       1.120ms         0.11%       1.120ms      28.011us            40  
                                b12x::bf16_gemv_small_n         0.20%       2.566ms         0.26%       3.256ms      62.617us       1.119ms         0.11%       1.396ms      26.841us            52  
kernel_cutlass_kernel_b12x_libquantmxfp8_rows_MXFP8R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.087ms         0.10%       1.087ms       1.066us          1020  
kernel_cutlass_kernel_pertok_b12xattention_sharedmla...         0.00%       0.000us         0.00%       0.000us       0.000us     984.292us         0.09%     984.292us      10.044us            98  
kernel_cutlass_kernel_b12xattentiondsa_indexermxfp4_...         0.00%       0.000us         0.00%       0.000us       0.000us     966.050us         0.09%     966.050us       6.038us           160  
                                            aten::copy_         0.19%       2.419ms         0.49%       6.181ms       8.342us     910.689us         0.09%     910.689us       1.229us           741  
                                                _tokens         0.00%       0.000us         0.00%       0.000us       0.000us     905.440us         0.09%     905.440us       1.741us           520  
kernel_cutlass_kernel_b12xattentionmla_compress_cute...         0.00%       0.000us         0.00%       0.000us       0.000us     609.153us         0.06%     609.153us      10.153us            60  
void vllm::moe::topkGatingSoftplusSqrt<4, 128, 4, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     591.105us         0.06%     591.105us       9.852us            60  
                                              _requests         0.00%       0.000us         0.00%       0.000us       0.000us     545.537us         0.05%     545.537us       1.049us           520  
kernel_cutlass_kernel_b12xnormmhc_kernelsMHCPostPreP...         0.00%       0.000us         0.00%       0.000us       0.000us     502.691us         0.05%     502.691us      13.229us            38  
                            _C::silu_and_mul_with_clamp         0.02%     238.880us         0.04%     451.073us      11.277us     462.305us         0.04%     462.305us      11.558us            40  
                                   _save_partial_states         0.00%       0.000us         0.00%       0.000us       0.000us     436.640us         0.04%     436.640us       7.277us            60  
kernel_cutlass_kernel_b12xnormmhc_kernelsMHCPostPreP...         0.00%       0.000us         0.00%       0.000us       0.000us     416.704us         0.04%     416.704us       5.412us            77  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us     384.769us         0.04%     384.769us     384.769us             1  
kernel_cutlass_kernel_b12xnormhyperconnection_cute_E...         0.00%       0.000us         0.00%       0.000us       0.000us     355.010us         0.03%     355.010us       8.875us            40  
                                            aten::fill_         0.09%       1.174ms         0.29%       3.610ms       8.677us     337.728us         0.03%     340.288us       0.818us           416  
kernel_cutlass_kernel_b12xattentiondsa_indexertiled_...         0.00%       0.000us         0.00%       0.000us       0.000us     315.297us         0.03%     315.297us       1.752us           180  
kernel_cutlass_kernel_b12xattentiondsa_indexermxfp4_...         0.00%       0.000us         0.00%       0.000us       0.000us     308.065us         0.03%     308.065us       1.711us           180  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     300.576us         0.03%     300.576us       2.226us           135  
                               cudaEventRecordWithFlags         0.05%     566.706us         0.05%     567.058us       1.009us     293.025us         0.03%     293.025us       0.521us           562  
kernel_cutlass_kernel_b12xattentiondsa_indexermxfp4_...         0.00%       0.000us         0.00%       0.000us       0.000us     290.016us         0.03%     290.016us       1.208us           240  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     276.256us         0.03%     276.256us      23.021us            12  
                                            aten::index         0.08%       1.063ms         0.55%       6.882ms      84.964us     270.976us         0.03%     276.800us       3.417us            81  
